"","Species","Order","Family","Genus","SV","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","image.files","description","Source"
"1","Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus","0","absent","",1067002,"","Monopterus cuchia","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"2","Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus","0","absent","",1067002,"","Monopterus cuchia","","","Neither a saccus vasculosus is present nor there are blood vessels in tile posterior region of the infundibular wall.","https://doi.org/10.1007/BF00633910"
"3","Aphyocharax anisitsi","Characiformes","Characidae","Aphyocharax","0","absent","",852942,"","Aphyocharax anisitsi","y","Aphyocharax_anisitsi_image_drawing_cross_section_annex1.png
Aphyocharax_anisitsi_image_drawing_cross_section_fig1.png
Aphyocharax_anisitsi_image_drawing_cross_section_fig4.png
Aphyocharax_anisitsi_image_drawing_cross_section_fig5.png","","?"
"4","Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma","0","absent","",3636296,"","Apistogramma borellii","","Apistogramma_borellii_image_ventral","","?"
"5","Ariopsis seemanni","Siluriformes","Ariidae","Ariopsis","0","absent","y",704267,"","Ariopsis seemanni","y","Ariopsis_seemanni_image_ventral_brail_fig4.png","","?"
"6","Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus","0","absent","",3636363,"","Biotoecus opercularis","","Biotecus_opercularis_image_ventral","","?"
"7","Danio rerio","Cypriniformes","Danionidae","Danio","0","absent","",1005914,"","Danio rerio","","","","?"
"8","Carassius auratus","Cypriniformes","Cyprinidae","Carassius","0","absent","y",1005907,"","Carassius auratus","","","Among the materials used in this study, the saccus vasculosus could not be observed in the crucian carp, goldfish, and guppy.",""
"9","Carassius carassius","Cypriniformes","Cyprinidae","Carassius","0","absent","",1010092,"","Carassius carassius","","","Among the materials used in this study, the saccus vasculosus could not be observed in the crucian carp, goldfish, and guppy.",""
"10","Channa gachua","Anabantiformes","Channidae","Channa","0","absent","",589530,"","Channa gachua","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"11","Channa punctata","Anabantiformes","Channidae","Channa","0","absent","",1008460,"","Channa punctata","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"12","Channa striata","Anabantiformes","Channidae","Channa","0","absent","",1048597,"","Channa striata","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"13","Clarias batrachus","Siluriformes","Clariidae","Clarias","0","absent","y",107857,"","Clarias batrachus","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"14","Dipnoi",NA,NA,NA,"0","absent","",29500,"sibling_higher","Dipnoi","","","""neither dipnoans nor any tetrapods possess a recognizable saccus
vasculosus""
dition to this the pituitary glands of tetrapods
and dipnoans share two features not evident in
other taxa: 1) a specialized separate arterial
supply to the posterior neurohypophysis, a ""pars
nervosa"" (Green, 1951; Zambrano and Iturriza,
1973), and 2) an absence of the saccus vasculosus[...]""","?"
"15","Dipnoi",NA,NA,NA,"0","absent","",29500,"sibling_higher","Dipnoi","","","""[dipnoans]  have lost the saccus vasculosus character-
istic of other jawed fishes (Wingstrand,1958)""","?"
"16","Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus","0","absent","y",115490,"","Gymnarchus niloticus","","","The saccus vasculosus is absent in Pantodon and Gymnarchus, but it is well developed in Notopterus and Xenomystus.","?"
"17","Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes","0","absent","",700872,"","Heteropneustes fossilis","","","Thus among the fishes studied the saccus vasculosus is absent in the species of Charms, Heteropneustes ]ossilis, Clarias batrachus and Amphipnous cuchia, all of which dwell in shallow waters and muddy pools,
and have acquired an efficient air-breathing habit","https://doi.org/10.1007/BF00633910"
"18","Lepisosteus platyrhincus","Lepisosteiformes","Lepisosteidae","Lepisosteus","0","absent","",804455,"","Lepisosteus platyrhincus","y","Lepisosteus_platyrhincus_drawing_sagittal_fig1","","https://doi.org/10.1016/j.ygcen.2012.11.013"
"19","Paracheirodon axelrodi","Characiformes","Characidae","Paracheirodon","0","absent","",949795,"","Paracheirodon axelrodi","y","Paracheirodon_axelrodi_drawing_lateral_fig4.png
Paracheirodon_axelrodi_imaage_drawing_cross_section_fig6L.png
Paracheirodon_axelrodi_imaage_drawing_cross_section_fig6MN.png
Paracheirodon_axelrodi_image_lateral_fig3.png
Paracheirodon_axelrodi_image_ventral_fig2.png","","https://doi.org/10.17533/udea.acbi.329216"
"20","Phoxinus phoxinus","Cypriniformes","Leuciscidae","Phoxinus","0","absent","y",1019917,"","Phoxinus phoxinus","","","""the saccus
vasculosus (which/receives fibres from the nucleus preopticus)
are absent in the minnow (Scharrer, 1928, 1952) a""","https://www.proquest.com/docview/1790727754?sourcetype=Dissertations%20&%20Theses (no doi)"
"21","Pimelodus pictus","Siluriformes","Pimelodidae","Pimelodus","0","absent","",488963,"","Pimelodus pictus","y","Pimelodus_pictus_image_lateral.png        Pimelodus_pictus_image_ventral.png","","https://doi.org/10.18359/rfcb.358"
"22","Poecilia reticulata","Cyprinodontiformes","Poeciliidae","Poecilia","0","absent","y",312452,"","Poecilia reticulata","","","Among the materials used in this study, the saccus vasculosus could not be observed in the crucian carp, goldfish, and guppy.","https://doi.org/10.1679/aohc1950.21.369"
"23","Taeniacara candidi","Cichliformes","Cichlidae","Taeniacara","0","absent","",128244,"","Taeniacara candidi","","Taeniacara_candidi_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"24","Oreochromis mossambicus","Cichliformes","Cichlidae","Oreochromis","0","absent","y",288069,"sibling_higher","Oreochromis mossambicus","y","Oreochromis_mossambicus_drawing_cross_section_fig1","","https://doi.org/10.1002/ar.25204"
