"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"1",1,1,1,"Apistogramma commbrae","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636286,"","Apistogramma_commbrae",NA,45,"freshwater"
"2",2,2,2,"Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","",1067002,"","Monopterus_cuchia",NA,39,"freshwater"
"3",3,3,3,"Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636296,"","Apistogramma_borellii",NA,38,"freshwater"
"4",4,4,4,"Apistogramma trifasciata","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636304,"","Apistogramma_trifasciata",NA,30,"freshwater"
"5",5,5,5,"Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus",0,"absent","",3636363,"","Biotoecus_opercularis",NA,12,"freshwater"
"6",6,6,6,"Danio rerio","Cypriniformes","Cyprinidae","Danio",0,"absent","y",1005914,"","Danio_rerio",NA,42,"freshwater"
"7",7,7,7,"Carassius auratus","Cypriniformes","Cyprinidae","Carassius",1,"present","y",1005907,"","Carassius_auratus",NA,61,"freshwater"
"8",8,8,8,"Carassius carassius","Cypriniformes","Cyprinidae","Carassius",0,"absent","",1010092,"","Carassius_carassius",NA,91,"freshwater"
"9",9,9,9,"Channa gachua","Anabantiformes","Channidae","Channa",0,"absent","",589530,"","Channa_gachua",NA,31,"freshwater"
"10",10,10,10,"Channa punctata","Anabantiformes","Channidae","Channa",0,"absent","",1008460,"","Channa_punctata",NA,31,"freshwater"
"11",11,11,11,"Channa striata","Anabantiformes","Channidae","Channa",0,"absent","y",1048597,"","Channa_striata",NA,21,"freshwater"
"12",12,12,12,"Clarias batrachus","Siluriformes","Clariidae","Clarias",0.5,"present","y",107857,"","Clarias_batrachus",NA,18,"freshwater"
"13",13,13,13,"Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus",0,"absent","y",115490,"","Gymnarchus_niloticus",NA,13,"freshwater"
"14",14,14,14,"Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes",0,"absent","",700872,"","Heteropneustes_fossilis",NA,31,"freshwater"
"15",15,15,15,"Ariopsis seemanni","Siluriformes","Ariidae","Ariopsis",1.5,"present","y",704267,"","Ariopsis_seemanni",NA,32,"saltwater"
"16",16,16,16,"Pimelodus pictus","Siluriformes","Pimelodidae","Pimelodus",3,"present","",488963,"","Pimelodus_pictus",NA,17,"freshwater"
"17",17,17,17,"Oreochromis mossambicus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",288069,"sibling_higher","Oreochromis_mossambicus",NA,28,"freshwater"
"18",18,18,18,"Amia calva","Amiiformes","Amiidae","Amia",3,"present","y",329623,"","Amia_calva",NA,66,"freshwater"
"19",19,19,19,"Astyanax jordani","Characiformes","Characidae","Astyanax",1,"present","",1044706,"","Astyanax_jordani",NA,82,"freshwater"
"20",20,20,20,"Astyanax mexicanus","Characiformes","Characidae","Astyanax",3.5,"present","y",701518,"","Astyanax_mexicanus",NA,34,"freshwater"
"21",21,21,21,"Bovichtus diacanthus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",842177,"","Bovichtus_diacanthus",NA,NA,NA
"22",22,22,22,"Clarias gariepinus","Siluriformes","Clariidae","Clarias",NA,"present","y",240811,"","Clarias_gariepinus",NA,10,"freshwater"
"23",23,23,23,"Clupea harengus","Clupeiformes","Clupeidae","Clupea",NA,"present","y",1005932,"","Clupea_harengus",NA,60,"saltwater"
"24",24,24,24,"Ctenopharyngodon idella","Cypriniformes","Cyprinidae","Ctenopharyngodon",1,"present","y",1005936,"","Ctenopharyngodon_idella",NA,59,"freshwater"
"25",25,25,25,"Diplomystes mesembrinus","Siluriformes","Diplomystidae","Diplomystes",1,"present","",536094,"","Diplomystes_mesembrinus",NA,NA,NA
"26",26,26,26,"Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","y",451269,"","Erpetoichthys_calabaricus",NA,NA,"freshwater"
"27",27,27,27,"Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",518755,"","Rhinogobius_flumineus",NA,60,"freshwater"
"28",28,28,28,"Diplodus sargus","Spariformes","Sparidae","Diplodus",3.25,"present","y",239665,"","Diplodus_sargus",NA,70,"saltwater"
"29",29,29,29,"Gambusia affinis","Cyprinodontiformes","Poeciliidae","Gambusia",0,"absent","y",617445,"","Gambusia_affinis",NA,47,"freshwater"
"30",30,30,30,"Coryphaena hippurus","Carangiformes","Coryphaenidae","Coryphaena",3,"present","",223663,"","Coryphaena_hippurus",NA,34,"saltwater"
