"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","climate"
"1",1,"Apistogramma commbrae","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636286,"","Apistogramma_commbrae","","tropical"
"2",2,"Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","",1067002,"","Monopterus_cuchia","","tropical"
"3",3,"Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636296,"","Apistogramma_borellii","","tropical"
"4",4,"Apistogramma trifasciata","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636304,"","Apistogramma_trifasciata","","tropical"
"5",5,"Aphyocharax anisitsi","Characiformes","Characidae","Aphyocharax",0,"absent","",852942,"","Aphyocharax_anisitsi","y","NA"
"6",6,"Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus",0,"absent","",3636363,"","Biotoecus_opercularis","","tropical"
"7",7,"Danio rerio","Cypriniformes","Cyprinidae","Danio",0,"absent","y",1005914,"","Danio_rerio","","tropical"
"8",8,"Carassius auratus","Cypriniformes","Cyprinidae","Carassius",1,"present","y",1005907,"","Carassius_auratus","","subtropical"
"9",9,"Carassius carassius","Cypriniformes","Cyprinidae","Carassius",0,"absent","",1010092,"","Carassius_carassius","","temperate"
"10",10,"Channa gachua","Anabantiformes","Channidae","Channa",0,"absent","",589530,"","Channa_gachua","","tropical"
"11",11,"Channa punctata","Anabantiformes","Channidae","Channa",0,"absent","",1008460,"","Channa_punctata","","tropical"
"12",12,"Channa striata","Anabantiformes","Channidae","Channa",0,"absent","y",1048597,"","Channa_striata","","tropical"
"13",13,"Clarias batrachus","Siluriformes","Clariidae","Clarias",0.5,"present","y",107857,"","Clarias_batrachus","","tropical"
"14",14,"Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus",0,"absent","y",115490,"","Gymnarchus_niloticus","","tropical"
"15",15,"Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes",0,"absent","",700872,"","Heteropneustes_fossilis","","tropical"
"16",16,"Ariopsis seemanni","Siluriformes","Ariidae","Ariopsis",1.5,"present","y",704267,"","Ariopsis_seemanni","","tropical"
"17",17,"Lepisosteus platyrhincus","Semionotiformes","Lepisosteidae","Lepisosteus",0,"absent","",804455,"","Lepisosteus_platyrhincus","y","NA"
"18",18,"Paracheirodon axelrodi","Characiformes","Characidae","Paracheirodon",0,"absent","",949795,"","Paracheirodon_axelrodi","y","tropical"
"19",19,"Pimelodus pictus","Siluriformes","Pimelodidae","Pimelodus",3,"present","",488963,"","Pimelodus_pictus","","tropical"
"20",20,"Oreochromis mossambicus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",288069,"sibling_higher","Oreochromis_mossambicus","","tropical"
"21",21,"Amia calva","Amiiformes","Amiidae","Amia",3,"present","y",329623,"","Amia_calva","","temperate"
"22",22,"Astyanax jordani","Characiformes","Characidae","Astyanax",1,"present","",1044706,"","Astyanax_jordani","","subtropical"
"23",23,"Astyanax mexicanus","Characiformes","Characidae","Astyanax",3.5,"present","y",701518,"","Astyanax_mexicanus","","subtropical, tropical"
"24",24,"Boulengerella cuvieri","Characiformes","Ctenoluciidae","Boulengerella",0,"absent","",3625788,"","Boulengerella_cuvieri","y","tropical"
"25",25,"Bovichtus diacanthus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",842177,"","Bovichtus_diacanthus","","NA"
"26",26,"Caenotropus labyrinthicus","Characiformes","Chilodontidae","Caenotropus",0,"absent","",546967,"","Caenotropus_labyrinthicus","y","tropical"
"27",27,"Characidium fasciatum","Characiformes","Crenuchidae","Characidium",0,"absent","",442774,"","Characidium_fasciatum","y","tropical"
"28",28,"Chrosomus eos","Cypriniformes","Cyprinidae","Chrosomus",0,"absent","y",63845,"","Chrosomus_eos","y","boreal, temperate"
"29",29,"Citharinus latus","Characiformes","Citharinidae","Citharinus",0,"absent","",3624471,"","Citharinus_latus","y","tropical"
"30",30,"Clarias gariepinus","Siluriformes","Clariidae","Clarias",NA,"present","y",240811,"","Clarias_gariepinus","","tropical"
"31",31,"Clupea harengus","Clupeiformes","Clupeidae","Clupea",NA,"present","y",1005932,"","Clupea_harengus","","temperate"
"32",32,"Cottoperca trigloides","Perciformes","Bovichtidae","Cottoperca",0,"absent","",3635394,"","Cottoperca_trigloides","y","NA"
"33",33,"Cottus carolinae","Perciformes","Cottidae","Cottus",0,"absent","",466859,"","Cottus_carolinae","y","temperate"
"34",34,"Ctenopharyngodon idella","Cypriniformes","Cyprinidae","Ctenopharyngodon",1,"present","y",1005936,"","Ctenopharyngodon_idella","","temperate"
"35",35,"Diplomystes mesembrinus","Siluriformes","Diplomystidae","Diplomystes",1,"present","",536094,"","Diplomystes_mesembrinus","","NA"
