"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"1","Apistogramma commbrae","Cichliformes","Cichlidae","Apistogramma",0,"absent",NA,3636286,NA,"Apistogramma_commbrae",NA,45,"freshwater","tropical",NA,"guarders","clutch tenders","Max. 80 eggs are deposited on the cave ceiling. Female clutch tender, but male often takes part in caring for eggs and larvae (Ref. 47893).",NA,NA,NA,NA,NA
"2","Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus",0,"absent",NA,1067002,NA,"Monopterus_cuchia",NA,39,"freshwater","tropical",NA,"guarders","nesters","The male guards and builds nest or burrow (Ref. 205).",NA,"nocturnal","nocturnal","nocturnal",-1
"3","Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma",0,"absent",NA,3636296,NA,"Apistogramma_borellii",NA,38,"freshwater","tropical",NA,"guarders","clutch tenders","Produces 50-70 eggs. The eggs are attached to the ceiling of caves, female cares for eggs and larvae. (Ref. 1672).",NA,NA,NA,NA,NA
"4","Apistogramma trifasciata","Cichliformes","Cichlidae","Apistogramma",0,"absent",NA,3636304,NA,"Apistogramma_trifasciata",NA,30,"freshwater","tropical",NA,"guarders","clutch tenders","Harem family, usually 1 male and 3 females. Lays up to 100 eggs in caves. Both sexes defend eggs and larvae (Ref. 1672).",NA,NA,NA,NA,NA
"5","Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus",0,"absent",NA,3636363,NA,"Biotoecus_opercularis",NA,12,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Danio rerio","Cypriniformes","Cyprinidae","Danio",0,"absent","y",1005914,NA,"Danio_rerio",NA,42,"freshwater","tropical","throughout the year, but peaking once","nonguarders","open water/substratum egg scatterers","Breed all year round (Ref. 58931).  From Johnson (1932), 'a female never extrudes eggs during active courtship until the genital organ comes in contact with that of the male, whereupon a small stream of eggs is ejected' (Ref. 205). Violent dashing and chasing characterise courtship finally culminating in eggs being shed a few at a time, settling freely without adhering to the bottom surface (Ref. 205).",NA,"diurnal","diurnal","diurnal",5
"7","Carassius auratus","Cypriniformes","Cyprinidae","Carassius",1,"present","y",1005907,NA,"Carassius_auratus",NA,61,"freshwater","subtropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Cold water temperatures during the winter months are necessary for proper ova development (Ref. 44091). Spawning takes place in shallow water among weeds, often where willow roots grow exposed in water (Ref. 39171), also meadows inundated by spring flood (Ref. 39176). Spawning activity begin just before dawn (Ref. 39168), to midafternoon (Ref. 39177). Individual fish spawn 3-10 lots of eggs at intervals of 8-10 days (Ref. 39180). Juveniles need high temperature to grow. Eggs are sticky, attached to water plants or submerged objects (Ref. 59043). Females spawn multiple times during the spawning period (Ref. 88808).",NA,"diurnal","diurnal","diurnal",5
"8","Carassius carassius","Cypriniformes","Cyprinidae","Carassius",0,"absent",NA,1010092,NA,"Carassius_carassius",NA,91,"freshwater","temperate","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Females spawn multiple times during the spawning period (Ref. 88808). Reproduction in May-June in shallow water with dense vegetation, eggs 130000-250000/female adhere to plants, hatch after 4-8 days (Ref. 2163). Individual  female spawn with several males. Males follow ripe females, often with much splashing. Eggs are sticky and are attached to water plants (Ref. 59043).",NA,"diurnal","diurnal","diurnal",4
"9","Channa gachua","Anabantiformes","Channidae","Channa",0,"absent",NA,589530,NA,"Channa_gachua",NA,31,"freshwater","tropical",NA,"bearers","external brooders","Male broods the eggs and fry in his mouth (Ref. 85309).",NA,"nocturnal","nocturnal","nocturnal",-3
"10","Channa punctata","Anabantiformes","Channidae","Channa",0,"absent",NA,1008460,NA,"Channa_punctata",NA,31,"freshwater","tropical","two seasonal peaks per year","guarders","nesters","Spawning usually takes place at night in shallow water with a silty substrate. Eggs are laid in nests through elaborate tunnels in vegetated areas which look like vertical columns of water with the eggs floating in the center (Ref. 205). The male and female move towards the center of the nest during spawning where the male entwines his body to the female moving upward while releasing the eggs to be fertilised (Ref. 45309). Eggs are guarded by one or both parents. Hatching takes place in a day (Ref. 6028).",NA,"nocturnal","nocturnal","nocturnal",-3
"11","Channa striata","Anabantiformes","Channidae","Channa",0,"absent","y",1048597,NA,"Channa_striata",NA,21,"freshwater","tropical","variable throughout range","guarders","clutch tenders","Breeds in ditches, ponds and flooded paddy fields. Young shoal at the surface and are guarded by the male parent (Ref. 54793), hiding below the surface water (Ref. 1479). In captivity, as soon as the male bends its body close to the female during mating, milt is released following the release of the eggs (Ref. 45162).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-3
"12","Clarias batrachus","Siluriformes","Clariidae","Clarias",0.5,"present","y",107857,NA,"Clarias_batrachus",NA,18,"freshwater","tropical","one clear seasonal peak per year","guarders","nesters","The pair manifests the 'spawning embrace' which is widely observed in other catfish species (Ref. 33313). The pair gently nudge each other in the genital region and flick their dorsal fins; male wraps his body around the female, then the female releases a stream of adhesive eggs into the nest (Ref. 44091). In southeast Asia, spawning period is during the rainy season, when rivers rise and fish are able to excavate nests in submerged mud banks and dikes of flooded rice fields (Ref. 40977).",NA,"nocturnal","nocturnal","nocturnal",-5
"13","Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus",0,"absent","y",115490,NA,"Gymnarchus_niloticus",NA,13,"freshwater","tropical",NA,"guarders","nesters","Breeds in well-vegetated, marginal areas of swamps and rivers, where a large, floating nest, about 1 m in diameter, is constructed, in which the eggs are laid and later guarded by one of the parents (Ref. 27583). Distinct pairing (Ref. 205).",NA,"nocturnal","nocturnal","nocturnal",-2
"14","Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes",0,"absent",NA,700872,NA,"Heteropneustes_fossilis",NA,31,"freshwater","tropical",NA,"guarders","nesters","Eggs are deposited in a depression usually excavated by both parents in mud, in shallow water. Parents guard the eggs and young until they can fend for themselves which lasts for about one month (Ref. 6028).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
