"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude"
"1",1,"Apistogramma commbrae","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636286,"","Apistogramma_commbrae",NA,27.5
"2",2,"Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","",1067002,"","Monopterus_cuchia",NA,24.5
"3",3,"Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636296,"","Apistogramma_borellii",NA,24
"4",4,"Apistogramma trifasciata","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636304,"","Apistogramma_trifasciata",NA,19.5
"5",5,"Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus",0,"absent","",3636363,"","Biotoecus_opercularis",NA,10
"6",6,"Danio rerio","Cypriniformes","Cyprinidae","Danio",0,"absent","y",1005914,"","Danio_rerio",NA,26
"7",7,"Carassius auratus","Cypriniformes","Cyprinidae","Carassius",1,"present","y",1005907,"","Carassius_auratus",NA,36
"8",8,"Carassius carassius","Cypriniformes","Cyprinidae","Carassius",0,"absent","",1010092,"","Carassius_carassius",NA,53
"9",9,"Channa gachua","Anabantiformes","Channidae","Channa",0,"absent","",589530,"","Channa_gachua",NA,20
"10",10,"Channa punctata","Anabantiformes","Channidae","Channa",0,"absent","",1008460,"","Channa_punctata",NA,20
"11",11,"Channa striata","Anabantiformes","Channidae","Channa",0,"absent","y",1048597,"","Channa_striata",NA,15
"12",12,"Clarias batrachus","Siluriformes","Clariidae","Clarias",0.5,"present","y",107857,"","Clarias_batrachus",NA,13.5
"13",13,"Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus",0,"absent","y",115490,"","Gymnarchus_niloticus",NA,10.5
"14",14,"Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes",0,"absent","",700872,"","Heteropneustes_fossilis",NA,20
"15",15,"Ariopsis seemanni","Siluriformes","Ariidae","Ariopsis",1.5,"present","y",704267,"","Ariopsis_seemanni",NA,20.5
"16",16,"Pimelodus pictus","Siluriformes","Pimelodidae","Pimelodus",3,"present","",488963,"","Pimelodus_pictus",NA,13
"17",17,"Oreochromis mossambicus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",288069,"sibling_higher","Oreochromis_mossambicus",NA,18.5
"18",18,"Amia calva","Amiiformes","Amiidae","Amia",3,"present","y",329623,"","Amia_calva",NA,39
"19",19,"Astyanax jordani","Characiformes","Characidae","Astyanax",1,"present","",1044706,"","Astyanax_jordani",NA,48
"20",20,"Astyanax mexicanus","Characiformes","Characidae","Astyanax",3.5,"present","y",701518,"","Astyanax_mexicanus",NA,22
