"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"1","Ariopsis seemanni","Siluriformes","absent","y",704267,"","Ariopsis seemanni"
"2","Bovichtus diacanthus","Perciformes/Notothenioidei","absent","y",842177,"","Bovichtus diacanthus"
"3","Cottoperca trigloides","Perciformes/Notothenioidei","absent","",3635394,"","Cottoperca trigloides"
"4","Gymnarchus niloticus","Osteoglossiformes","absent","y",115490,"","Gymnarchus niloticus"
"5","Oreochromis mossambicus","Cichliformes","absent","y",288069,"sibling_higher","Oreochromis mossambicus"
"6","Rhyacichthys aspro","Gobiiformes","absent","y",652242,"","Rhyacichthys aspro"
"7","Amia calva","Amiiformes","absent","y",329623,"","Amia calva"
"8","Anableps anableps","Cyprinodontiformes","absent","y",349121,"","Anableps anableps"
"9","Aphyocharax anisitsi","Characiformes","absent","",852942,"","Aphyocharax anisitsi"
"10","Aphyocharax dentatus","Characiformes","absent","",13154,"","Aphyocharax dentatus"
"11","Arapaima gigas","Osteoglossiformes","absent","y",335725,"","Arapaima gigas"
"12","Astyanax jordani","Characiformes","absent","",1044706,"","Astyanax jordani"
"13","Austrolebias charrua","Cyprinodontiformes","absent","y",688711,"","Austrolebias charrua"
"14","Belonesox belizanus","Cyprinodontiformes","absent","",913297,"","Belonesox belizanus"
"15","Betta splendens","Anabantiformes","absent","",1033356,"","Betta splendens"
"16","Boulengerella cuvieri","Characiformes","absent","",3625788,"","Boulengerella cuvieri"
"17","Danio rerio","Cypriniformes","absent","",1005914,"","Danio rerio"
"18","Caenotropus labyrinthicus","Characiformes","absent","",546967,"","Caenotropus labyrinthicus"
"19","Carassius auratus","Cypriniformes","absent","y",1005907,"","Carassius auratus"
"20","Carassius carassius","Cypriniformes","absent","",1010092,"","Carassius carassius"
"21","Channa micropeltes","Anabantiformes","absent","",332862,"","Channa micropeltes"
"22","Channa punctata","Anabantiformes","absent","",1008460,"","Channa punctata"
"23","Characidium fasciatum","Characiformes","absent","",442774,"","Characidium fasciatum"
"24","Charax leticiae","Characiformes","absent","",1091396,"","Charax leticiae"
"25","Citharinus latus","Characiformes","absent","",3624471,"","Citharinus latus"
"26","Cobitis biwae","Cypriniformes","absent","",638827,"","Cobitis biwae"
"27","Cobitis",NA,"absent","",584643,"","Cobitis"
"28","Cololabis saira","Beloniformes","absent","y",427511,"","Cololabis saira"
"29","Corydoras paleatus","Siluriformes","absent","",267119,"","Corydoras paleatus"
"30","Ctenolucius hujeta","Characiformes","absent","",990661,"","Ctenolucius hujeta"
"31","Cheilopogon heterurus","Beloniformes","absent","",850211,"","Cheilopogon heterurus"
"32","Dermogenys pusilla","Beloniformes","absent","",139152,"","Dermogenys pusilla"
"33","Dicentrarchus labrax","Eupercaria/misc","absent","y",3549,"","Dicentrarchus labrax"
"34","Diplomystes mesembrinus",NA,"absent","",536094,"","Diplomystes mesembrinus"
"35","Dipnoi",NA,"absent","",29500,"sibling_higher","Dipnoi"
"36","Electrophorus electricus","Gymnotiformes","absent","y",216168,"","Electrophorus electricus"
"37","Erpetoichthys calabaricus","Polypteriformes","absent","y",451269,"","Erpetoichthys calabaricus"
"38","Esox lucius","Esociformes","absent","y",739941,"","Esox lucius"
"39","Exodon paradoxus","Characiformes","absent","",335632,"","Exodon paradoxus"
"40","Glossolepis incisus",NA,"absent","",976546,"","Glossolepis incisus"
"41","Nimbochromis venustus","Cichliformes","absent","",888881,"","Nimbochromis venustus"
"42","Helostoma temminkii",NA,"absent","",754856,"","Helostoma temminkii"
"43","Hemichromis guttatus",NA,"absent","",839353,"","Hemichromis guttatus"
"44","Hemitilapia oxyrhynchus","Cichliformes","absent","",720886,"","Hemitilapia oxyrhynchus"
"45","Hepsetus odoe","Characiformes","absent","y",128234,"","Hepsetus odoe"
"46","Heterocharax leptogrammus","Characiformes","absent","",3624837,"","Heterocharax leptogrammus"
"47","Heterotis niloticus","Osteoglossiformes","absent","y",916703,"","Heterotis niloticus"
