Species,Spawning,RepGuild1,RepGuild2,AddInfos
Abudefduf abdominalis,NA,guarders,nesters,Distinct pairing (Ref. 205).  Male guards and aerates eggs (Ref. 205).
Acanthogobius flavimanus,NA,guarders,nesters,Eggs are deposited near the base of the Y-shaped nest (Ref. 51058).
Acanthopagrus schlegelii,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Sex change occurs at about 5 years of age (Ref. 36558).
Acarichthys heckelii,NA,guarders,nesters,A hole nester.      
Acaronia nassa,NA,guarders,clutch tenders,Spawn on horizontal surface. Female tends eggs and male defends territory (Ref. 40602).
Acipenser baerii,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Potamodromous species (Ref. 57765). In a natural environment, males reach sexual maturity at 9-1 5 years of age and females at 16-20 years (in water recirculation systems, sexual maturity can first occur at 5 years). Spawning happens in the summer and generally every two years. Membranes on eggs become increasingly more sticky after fertilization and this allows them to stick to the substratum. This can become a problem in nurseries, but it is solved by washing the eggs in clay or diatomaceous earth suspensions. Caviar (not fecundated ovocites ) can be over 1 0% of the corporal weight of a mature female. Incubation
lasts about 1 6 days (at 10-1 5°). Larval development lasts about 20 days (at 18°). Egg size 3.0-3.6 mm, larval length at hatching 10-12 mm."
Acipenser fulvescens,NA,nonguarders,open water/substratum egg scatterers,Spawning sites are rocky and boulder filled areas  along the outside bend of rivers (Ref. 41542).
Acipenser gueldenstaedtii,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Under the name <i>A. g. colchicus</i>. Spawns in rivers. Natural spawning not extensive, maintained chiefly by artificial propagation. Enters rivers from April to June (a few in autumn)."
Acipenser ruthenus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Scatters eggs on gravel.
Acipenser transmontanus,NA,nonguarders,open water/substratum egg scatterers,Adults return to the sea after spawning (Ref. 27547). Spawning frequency interval every 4 years for younger females and every 10-11 years in older females (Ref. 1998).
Aeoliscus strigatus,NA,nonguarders,open water/substratum egg scatterers,NA
Aequidens plagiozonatus,NA,NA,NA,NA
Aethotaxis mitopteryx,NA,NA,NA,NA
Akarotaxis nudiceps,NA,nonguarders,NA,NA
Alopias superciliosus,no obvious seasonal peak,bearers,internal live bearers,"Exhibit ovoviparity (aplacental viviparity), with embryos feeding on other ova produced by the mother (oophagy) after the yolk sac is absorbed (Ref. 50449).  With 2-4 young per litter (usually 2) (Ref. 247).  Size at birth between 64-106 cm (Ref. 247); 100-140 cm TL (Ref.58048).   No fixed mating or birthing season.  Distinct pairing with embrace (Ref. 205). "
Amblyopsis spelaea,NA,bearers,external brooders,Female incubates eggs in gill cavities (Ref. 7471).
Ameiurus nebulosus,NA,guarders,nesters,"Nests are built by one or both sexes. After a period of caressing each other with their barbels, male and female settle over the nest, face opposite directions (while maintaining body contact) and spawn. Although eggs are cared for by one or both parents, there have been reports of parents eating their own eggs. Caring entails fanning by the paired fins, moving and stirring by the barbels, and may be picked up  and ejected from the mouth; this ensures hatching."
Amia calva,NA,guarders,nesters,"Males build and guard nest and  young, usually nesting in colonies, and clearing out vegetation for the nest (Refs. 205, 34296, 34297, 3672). Most active at twilight and dawn (Ref. 34297); spawn at night (Ref. 34296).  Eggs hatch in 9 days; newly hatched young measuring 8 mm  (Ref. 34297).  Larvae are guarded by the male parent until they are able to swim freely (Ref. 205)."
Amphilophus citrinellus,NA,guarders,nesters,"Spawn preferentially on the ceiling of natural caves (Ref. 38966). Deposit eggs on hard substrates, such as rocks or logs; both parents  guarding the eggs and the fry for several weeks (Ref. 44091). 300-1000 eggs (Ref. 2060)."
Amphiprion clarkii,NA,guarders,nesters,"Benthic spawner. Sex reversal is completed in less than 5-6 months (Ref. 34185).  Oviparous, distinct pairing during breeding (Ref. 205).  Monogamous mating is observed as both obligate and social (Ref. 52884). Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
