"Species","data_type","presence"
"Cyprinus carpio","ventral","present"
"Cyprinus carpio","lateral","present"
"Cyprinus carpio","ventral","present"
"Cyprinus carpio","lateral","present"
"Channa punctata","ventral","absent"
"Channa punctata","ventral","absent"
"Bovichtus diacanthus","ventral","present"
"Bovichtus diacanthus","lateral","present"
"Bovichtus diacanthus","ventral","present"
"Bovichtus diacanthus","lateral","present"
"Ophthalmolycus amberensis","ventral","present"
"Ophthalmolycus amberensis","lateral","present"
"Ophthalmolycus amberensis","ventral","present"
"Ophthalmolycus amberensis","lateral","present"
"Cichlasoma dimerus","sagittal section","present"
"Cichlasoma dimerus","cross section","present"
"Cichlasoma dimerus","sagittal section","present"
"Cichlasoma dimerus","cross section","present"
"Pseudopimelodus bufonius","ventral","present"
"Pseudopimelodus bufonius","lateral","present"
"Pseudopimelodus bufonius","ventral","present"
"Pseudopimelodus bufonius","lateral","present"
"Pseudopimelodus mangurus","ventral","present"
"Pseudopimelodus mangurus","lateral","present"
"Pseudopimelodus mangurus","ventral","present"
"Pseudopimelodus mangurus","lateral","present"
"Dolloidraco longedorsalis","ventral","present"
"Dolloidraco longedorsalis","lateral","present"
"Dolloidraco longedorsalis","sagittal section","present"
"Dolloidraco longedorsalis","ventral","present"
"Dolloidraco longedorsalis","lateral","present"
"Dolloidraco longedorsalis","sagittal section","present"
"Bregmaceros japonicus","lateral","absent"
"Bregmaceros japonicus","lateral","absent"
"Ictalurus punctatus","ventral","present"
"Ictalurus punctatus","ventral","present"
"Haplochromis burtoni","sagittal section","present"
"Haplochromis burtoni","sagittal section","present"
"Parupeneus multifasciatus","ventral","absent"
"Parupeneus multifasciatus","lateral","absent"
"Parupeneus multifasciatus","ventral","absent"
"Parupeneus multifasciatus","lateral","absent"
"Hippocampus guttulatus","sagittal section","present"
"Hippocampus guttulatus","sagittal section","present"
"Atractosteus tropicus","sagittal section","present"
"Atractosteus tropicus","sagittal section","present"
"Paracheirodon axelrodi","ventral","absent"
"Paracheirodon axelrodi","lateral","absent"
"Paracheirodon axelrodi","cross section","absent"
"Pimelodus pictus","ventral","absent"
"Pimelodus pictus","lateral","absent"
"Chaetodon miliaris","cross section","present"
"Chaetodon multicinctus","cross section","present"
"Cyprinus carpio","ventral","present"
"Cyprinus carpio","lateral","present"
"Dasyatis akajei","sagittal section","present"
"Oncorhynchus mykiss irideus","cross section","present"
"Polyodon spathula","sagittal section","present"
"Piaractus brachypomus","cross section","present"
"Astyanax mexicanus","lateral","absent"
"Channa punctata","ventral","absent"
"Chrosomus eos","ventral","absent"
"Chrosomus eos","ventral","absent"
"Clarias gariepinus","ventral","absent"
"Dicrossus warzeli","ventral","absent"
"Dicrossus warzeli","cross section","absent"
"Hemichromis bimaculatus","ventral","absent"
"Hemitilapia oxyrhynchus","ventral","absent"
"Hemitilapia oxyrhynchus","lateral","absent"
"Esox lucius","ventral","absent"
"Esox lucius","lateral","absent"
"Oreochromis niloticus","ventral","absent"
"Rhinogobius flumineus","ventral","absent"
"Rhinogobius flumineus","lateral","absent"
"Rhyacichthys aspro","ventral","absent"
"Rhyacichthys aspro","lateral","absent"
"Diplodus sargus","cross section","absent"
"Epinephelus malabaricus","ventral","absent"
"Epinephelus malabaricus","lateral","absent"
"Halichoeres trimaculatus","lateral","absent"
"Halichoeres trimaculatus","cross section","absent"
"Clarias batrachus","sagittal section","present"
"Bovichtus diacanthus","ventral","present"
"Bovichtus diacanthus","lateral","present"
"Chelon labrosus","cross section","present"
"Diplomystes mesembrinus","ventral","present"
"Lophiosilurus alexandri","ventral","present"
"Microglanis cottoides","ventral","present"
"Ophthalmolycus amberensis","ventral","present"
"Ophthalmolycus amberensis","lateral","present"
"Pseudopimelodus mangurus","ventral","present"
"Salmo salar","lateral","present"
"Takifugu alboplumbeus","ventral","present"
"Takifugu alboplumbeus","lateral","present"
"Allenbatrachus grunniens","sagittal section","present"
"Anguilla anguilla","sagittal section","present"
"Anguilla anguilla","sagittal section","present"
"Austrolebias affinis","lateral","present"
"Austrolebias affinis","sagittal section","present"
"Batrochoglanis raninus","ventral","present"
"Cephalosilurus fowleri","ventral","present"
"Chelon labrosus","cross section","present"
"Cichlasoma dimerus","sagittal section","present"
"Cichlasoma dimerus","cross section","present"
"Cottus pollux","ventral","present"
"Cottus pollux","lateral","present"
"Cruciglanis pacifici","ventral","present"
"Dicentrarchus labrax","lateral","present"
"Dicentrarchus labrax","lateral","present"
"Dicentrarchus labrax","sagittal section","present"
"Eleginops maclovinus","lateral","present"
"Eleginops maclovinus","lateral","present"
"Eleginops maclovinus","cross section","present"
"Muraenolepis microps","ventral","present"
"Muraenolepis microps","cross section","present"
"Oncorhynchus masou","ventral","present"
"Oncorhynchus masou","lateral","present"
"Oncorhynchus masou masou","cross section","present"
"Pleuragramma antarctica","lateral","present"
"Pleuragramma antarctica","lateral","present"
"Pleuragramma antarctica","lateral","present"
"Pseudopimelodus bufonius","ventral","present"
"Pseudopimelodus bufonius","lateral","present"
"Pseudopimelodus mangurus","ventral","present"
"Pseudopimelodus mangurus","lateral","present"
"Salmo salar","lateral","present"
"Salvelinus leucomaenis","ventral","present"
"Diplodus sargus","sagittal section","present"
"Platichthys flesus","lateral","present"
"Platichthys flesus","cross section","present"
"Akarotaxis nudiceps","lateral","present"
"Astyanax mexicanus","ventral","present"
"Astyanax mexicanus","lateral","present"
"Astyanax mexicanus","ventral","present"
"Astyanax mexicanus","lateral","present"
"Dissostichus mawsoni","sagittal section","present"
"Dolloidraco longedorsalis","lateral","present"
"Dolloidraco longedorsalis","ventral","present"
"Dolloidraco longedorsalis","lateral","present"
"Dolloidraco longedorsalis","sagittal section","present"
"Gymnodraco acuticeps","lateral","present"
"Larimichthys crocea","sagittal section","present"
"Larimichthys crocea","cross section","present"
"Chitala chitala","ventral","present"
"Chitala chitala","sagittal section","present"
"Trematomus bernacchii","lateral","present"
"Mystus gulio","ventral","present"
"Gadus morhua (species in domain Eukaryota)","sagittal section","absent"
"Gadus morhua (species in domain Eukaryota)","lateral","absent"
"Gadus morhua (species in domain Eukaryota)","cross section","absent"
"Etroplus maculatus","sagittal section","present"
"Clarias batrachus","sagittal section","absent"
"Bregmaceros japonicus","lateral","absent"
"Hydrolagus colliei","sagittal section","present"
"Opsanus beta","sagittal section","present"
"Microlepidogaster perforatus","ventral","present"
"Microlepidogaster perforatus","lateral","present"
"Hypostomus ancistroides","ventral","present"
"Hypostomus ancistroides","lateral","present"
