"","Species","order"
"1","Abudefduf abdominalis","Ovalentaria/misc"
"2","Acanthogobius flavimanus","Gobiiformes"
"3","Acanthopagrus schlegelii","Spariformes"
"4","Acanthopagrus schlegelii","Spariformes"
"5","Acestrorhynchus altus","Characiformes"
"6","Acestrorhynchus falcatus","Characiformes"
"7","Acipenser baerii","Acipenseriformes"
"8","Acipenser fulvescens","Acipenseriformes"
"9","Acipenser gueldenstaedtii","Acipenseriformes"
"10","Acipenser gueldenstaedtii","Acipenseriformes"
"11","Acipenser ruthenus","Acipenseriformes"
"12","Acipenser transmontanus","Acipenseriformes"
"13","Acnodon normani","Characiformes"
"14","Aeoliscus strigatus","Syngnathiformes"
"15","Aethotaxis mitopteryx","Perciformes"
"16","Agamyxis pectinifrons","Siluriformes"
"17","Agoniates halecinus","Characiformes"
"18","Akarotaxis nudiceps","Perciformes"
"19","Allenbatrachus grunniens","Batrachoidiformes"
"20","Amia calva","Amiiformes"
"21","Amphiprion clarkii","Ovalentaria/misc"
"22","Anableps anableps","Cyprinodontiformes"
"23","Anguilla anguilla","Anguilliformes"
"24","Anguilla japonica","Anguilliformes"
"25","Anguilla rostrata","Anguilliformes"
"26","Anoplopoma fimbria","Perciformes"
"27","Anthias anthias","Perciformes"
"28","Aphyocharax anisitsi","Characiformes"
"29","Aphyocharax dentatus","Characiformes"
"30","Apteronotus albifrons","Gymnotiformes"
"31","Arapaima gigas","Osteoglossiformes"
"32","Arctoscopus japonicus","Perciformes"
"33","Ariopsis seemanni","Siluriformes"
"34","Ariopsis seemanni","Siluriformes"
"35","Asterropteryx semipunctata","Gobiiformes"
"36","Astyanax altiparanae","Characiformes"
"37","Astyanax jordani","Characiformes"
"38","Astyanax mexicanus","Characiformes"
"39","Austrolebias affinis","Cyprinodontiformes"
"40","Austrolebias charrua","Cyprinodontiformes"
"41","Badis badis","Anabantiformes"
"42","Barbus petenyi","Cypriniformes"
"43","Bathygobius fuscus","Gobiiformes"
"44","Batrachomoeus trispinosus","Batrachoidiformes"
"45","Batrochoglanis raninus","Siluriformes"
"46","Belonesox belizanus","Cyprinodontiformes"
"47","Betta splendens","Anabantiformes"
"48","Boulengerella cuvieri","Characiformes"
"49","Bovichtus diacanthus","Perciformes"
"50","Bovichtus variegatus","Perciformes"
"51","Brycon orbignyanus","Characiformes"
"52","Bunocephalus coracoideus","Siluriformes"
"53","Caenotropus labyrinthicus","Characiformes"
"54","Carassius auratus","Cypriniformes"
"55","Carassius carassius","Cypriniformes"
"56","Carnegiella marthae","Characiformes"
"57","Catoprion mento","Characiformes"
"58","Centropyge bispinosa","Acanthuriformes"
"59","Cephalosilurus fowleri","Siluriformes"
"60","Ceratoscopelus warmingii","Myctophiformes"
"61","Chaca chaca","Siluriformes"
"62","Chaetodon miliaris","Chaetodontiformes"
"63","Chaetodon multicinctus","Chaetodontiformes"
"64","Chaetodon vagabundus","Chaetodontiformes"
"65","Chalceus erythrurus","Characiformes"
